CID-10|Desc. CID-10
L235|Dermatite alérgica de contato devida a outros produtos químicos
M036|Artropatia reacional em outras doenças classificadas em outra parte
M45|Espondilite ancilosante
M465|Outras espondilopatias infecciosas
M622|Infarto isquêmico do músculo
M671|Outra contratura de tendão (bainha)
M705|Outras bursites do joelho
M911|Osteocondrose juvenil da cabeça do fêmur [Legg-Calvé-Perthes]
N351|Estenose uretral pós-infecciosa não classificada em outra parte
N999|Transtorno pós-procedimento não especificado do aparelho geniturinário
O065|Aborto não especificado - completo ou não especificado, complicado por infecções do trato genital ou dos órgãos pélvicos
P110|Edema cerebral devido a traumatismo de parto
P278|Outras doenças respiratórias crônicas originadas no período perinatal
Q214|Comunicação aortopulmonar
Q441|Outras malformações congênitas da vesícula biliar
Q518|Outras malformações congênitas do útero e do colo do útero
R638|Outros sintomas e sinais relativos a ingestão de alimentos e de líquidos
S240|Concussão e edema da medula espinhal torácica
S710|Ferimento do quadril
T237|Corrosão de terceiro grau do punho e da mão
T425|Intoxicação por antiepiléticos em associação, não classificados em outra parte
T541|Efeito tóxico de outros compostos corrosivos orgânicos
T631|Efeito tóxico do veneno de outros répteis
T815|Corpo estranho deixado acidentalmente em cavidade corporal ou em ferida operatória subseqüente a procedimento
T824|Complicação mecânica de cateter vascular de diálise
T854|Complicação mecânica de prótese e implante mamários
Z036|Observação por suspeita de efeito tóxico de substância ingerida
A305|Hanseníase [lepra] lepromatosa
A400|Septicemia por Streptococcus do grupo A
A414|Septicemia por anaeróbios
A609|Infecção anogenital não especificada pelo vírus do herpes
A94|Febre viral transmitida por artrópodes, não especificada
B027|Herpes zoster disseminado
B465|Mucormicose não especificada
B488|Outras micoses especificadas
C023|Neoplasia maligna de dois terços anteriores da língua, parte não especificada
C024|Neoplasia maligna da amígdala lingual
C058|Neoplasia maligna do palato com lesão invasiva
C061|Neoplasia maligna do vestíbulo da boca
C101|Neoplasia maligna da face anterior da epiglote
C479|Neoplasia maligna dos nervos periféricos e sistema nervoso autônomo, não especificados
C639|Neoplasia maligna de órgão genital masculino, não especificado
C889|Doença imunoproliferativa maligna, não especificada
C901|Leucemia plasmocitária
D050|Carcinoma lobular in situ
D477|Outras neoplasias especificadas de comportamento incerto ou desconhecido dos tecidos linfático, hematopoético e tecidos relacionados
D520|Anemia por deficiência de folato na dieta
D593|Síndrome hemolítico-urêmica
D67|Deficiência hereditária do fator IX
D761|Linfohistiocitose hemofagocítica
E271|Insuficiência adrenocortical primária
F051|Delirium superposto a uma demência
F141|Transtornos mentais e comportamentais devidos ao uso da cocaína - uso nocivo para a saúde
F165|Transtornos mentais e comportamentais devidos ao uso de alucinógenos - transtorno psicótico
G719|Transtorno muscular primário não especificado
H449|Transtorno não especificado do globo ocular
H628|Outros transtornos do ouvido externo em doenças classificadas em outra parte
H728|Outras perfurações da membrana do tímpano
H939|Transtorno não especificado do ouvido
I010|Pericardite reumática aguda
I020|Coréia reumática com comprometimento cardíaco
I668|Oclusão e estenose de outra artéria cerebral
I701|Aterosclerose da artéria renal
J15|Pneumonia bacteriana não classificada em outra parte
J387|Outras doenças da laringe
J679|Pneumonite de hipersensibilidade devida a poeira orgânica não especificada
J980|Outras doenças dos brônquios não classificadas em outra parte
K048|Cisto radicular
K075|Anormalidades dentofaciais funcionais
K078|Outras anomalias dentofaciais
K098|Outros cistos da região oral não classificados em outra parte
K575|Doença diverticular concomitante dos intestinos delgado e grosso sem perfuração ou abscesso
K589|Síndrome do cólon irritável sem diarréia
K821|Hidropsia da vesícula biliar
L980|Granuloma piogênico
M001|Artrite e poliartrite pneumocócicas
M060|Artrite reumatóide soro-negativa
M248|Outros transtornos articulares específicos, não classificados em outra parte
M368|Doenças sistêmicas do tecido conjuntivo em outras doenças classificadas em outra parte
M500|Transtorno do disco cervical com mielopatia
M726|Fasciíte necrosante
N030|Síndrome nefrítica crônica - anormalidade glomerular minor
N418|Outras doenças inflamatórias da próstata
N485|Úlcera do pênis
O655|Obstrução do trabalho de parto devida a anormalidade dos órgãos pélvicos maternos
O663|Obstrução do trabalho de parto devido a outras anormalidades do feto
P942|Hipotonia congênita
Q054|Espinha bífida não especificada, com hidrocefalia
Q506|Outras malformações congênitas das trompas de Falópio e dos ligamentos largos
Q613|Rim policístico não especificado
S010|Ferimento do couro cabeludo
S097|Traumatismos múltiplos da cabeça
S300|Contusão do dorso e da pelve
S637|Entorse e distensão de outras partes e das não especificadas da mão
S711|Ferimento da coxa
S751|Traumatismo da veia femural ao nível do quadril e da coxa
S858|Traumatismo de outros vasos sangüíneos ao nível da perna
T136|Amputação traumática de membro inferior, nível não especificado
T226|Corrosão de segundo grau do ombro e do membro superior, exceto punho e mão
T362|Intoxicação pelo grupo do cloranfenicol
T811|Choque durante ou resultante de procedimento não classificado em outra parte
Z005|Exame de doador potencial de órgão e tecido
Z048|Exame e observação por outras razões especificadas
Z136|Exame especial de rastreamento de doenças cardiovasculares
B07|Verrugas de origem viral
B081|Molusco contagioso
B270|Mononucleose pelo vírus herpes gama
B871|Miíase das feridas
C113|Neoplasia maligna da parede anterior da nasofaringe
C12|Neoplasia maligna do seio piriforme
C132|Neoplasia maligna da parede posterior da hipofaringe
C322|Neoplasia maligna da região subglótica
C778|Neoplasia maligna secundária e não especificada dos gânglios linfáticos de múltiplas regiões
C840|Micose fungóide
C951|Leucemia crônica de tipo celular não especificado
D151|Neoplasia benigna do coração
D163|Neoplasia benigna dos ossos curtos dos membros inferiores
D220|Nevo melanocítico do lábio
D470|Tumores de comportamento incerto ou desconhecido de mastócitos e células histiocíticas
D839|Imunodeficiência comum variável não especificada
E02|Hipotireoidismo subclínico por deficiência de iodo
E048|Outro bócio não-tóxico especificado
E240|Síndrome de Cushing dependente da hipófise
E258|Outros transtornos adrenogenitais
E40|Kwashiorkor
E831|Doença do metabolismo do ferro
F113|Transtornos mentais e comportamentais devidos ao uso de opiáceos - síndrome [estado] de abstinência
F428|Outros transtornos obsessivo-compulsivos
F444|Transtornos dissociativos do movimento
F511|Hipersonia não-orgânica
H404|Glaucoma secundário a inflamação ocular
I079|Doença não especificada da valva tricúspide
J983|Enfisema compensatório
K116|Mucocele de glândula salivar
K266|Úlcera duodenal - crônica ou não especificada com hemorragia e perfuração
K716|Doença hepática tóxica com hepatite não classificada em outra parte
K762|Necrose hemorrágica central do fígado
M171|Outras gonartroses primárias
M513|Outra degeneração especificada de disco intervertebral
M624|Contratura de músculo
N003|Síndrome nefrítica aguda - glomerulonefrite proliferativa mesangial difusa
N010|Síndrome nefrítica rapidamente progressiva - anormalidade glomerular minor
N428|Outras afecções especificadas da próstata
N480|Leucoplasia do pênis
N482|Outros transtornos inflamatórios do pênis
N484|Impotência de origem orgânica
N734|Pelviperitonite crônica feminina
O351|Assistência prestada à mãe por anormalidade cromossômica (suspeitada) do feto
P201|Hipóxia intra-uterina diagnosticada durante o trabalho de parto e o parto
Q057|Espinha bífida lombar, sem hidrocefalia
Q409|Malformação congênita não especificada do trato digestivo superior
Q649|Malformação congênita não especificada do aparelho urinário
Q748|Outras malformações congênitas especificadas de membro(s)
Q751|Disostose craniofacial
Q851|Esclerose tuberosa
Q897|Malformações congênitas múltiplas, não classificadas em outra parte
R392|Uremia extra-renal
S012|Ferimento do nariz
S297|Traumatismos múltiplos do tórax
S354|Traumatismo de vaso sangüíneo renal
S432|Luxação da articulação esternoclavicular
S458|Traumatismo de outros vasos sangüíneos ao nível do ombro e do braço
S758|Traumatismo de outros vaso sangüíneos ao nível do quadril e da coxa
S781|Amputação traumática localizada entre o joelho e o quadril
S859|Traumatismo de vasos sangüíneos não especificados ao nível da perna
S881|Amputação traumática entre o joelho e o tornozelo
S890|Traumatismos múltiplos da perna
S909|Traumatismo superficial do tornozelo e do pé, não especificado
S999|Traumatismos não especificados do tornozelo e do pé
T10|Fratura do membro superior, nível não especificado
T200|Queimadura da cabeça e do pescoço, grau não especificado
T207|Corrosão de terceiro grau da cabeça e do pescoço
T936|Seqüelas de esmagamento e amputação traumática do membro inferior
Y249|Disparo de outra arma de fogo e de arma de fogo não especificada, intenção não determinada - local não especificado
Z049|Exame e observação por razão não especificada
A047|Enterocolite devida a Clostridium difficile
A182|Linfadenopatia tuberculosa periférica
A529|Sífilis tardia não especificada
B000|Eczema herpético
B004|Encefalite devida ao vírus do herpes
B005|Afecções oculares devidas ao vírus do herpes
B083|Eritema infeccioso [quinta doença]
B417|Paracoccidioidomicose disseminada
B441|Outras aspergiloses pulmonares
B872|Miíase ocular
C022|Neoplasia maligna da face ventral da língua
C030|Neoplasia maligna da gengiva superior
C103|Neoplasia maligna da parede posterior da orofaringe
C701|Neoplasia maligna das meninges espinhais
C927|Outras leucemias mielóides
D332|Neoplasia benigna do encéfalo, não especificado
D361|Neoplasia benigna dos nervos periféricos e sistema nervoso autônomo
D417|Neoplasia de comportamento incerto ou desconhecido de outros órgãos urinários
D733|Abscesso do baço
E126|Diabetes mellitus relacionado com a desnutrição - com outras complicações especificadas
E137|Outros tipos especificados de diabetes mellitus - com complicações múltiplas
E702|Distúrbios do metabolismo da tirosina
F500|Anorexia nervosa
F729|Retardo mental grave - sem menção de comprometimento do comportamento
F841|Autismo atípico
G808|Outras formas de paralisia cerebral
H252|Catarata senil tipo Morgagni
H262|Catarata complicada
H749|Transtorno não especificado do ouvido médio e da mastóide
I078|Outras doenças da valva tricúspide
I132|Doença cardíaca e renal hipertensiva com insuficiência cardíaca (congestiva) e insuficiência renal
I312|Hemopericárdio não classificado em outra parte
I341|Prolapso (da valva) mitral
I359|Transtornos não especificados da valva aórtica
I660|Oclusão e estenose da artéria cerebral média
I849|Hemorróidas sem complicações, não especificadas
I890|Linfedema não classificado em outra parte
J122|Pneumonia devida à parainfluenza
K102|Afecções inflamatórias dos maxilares
L049|Linfadenite aguda de localização não especificada
L120|Penfigóide bolhoso
L409|Psoríase não especificada
L983|Celulite eosinofílica [Wells]
M210|Deformidade em valgo não classificada em outra parte
M359|Comprometimento sistêmico não especificado do tecido conjuntivo
M766|Tendinite aquileana
N047|Síndrome nefrótica - glomerulonefrite difusa em crescente
N083|Transtornos glomerulares no diabetes mellitus
N17|Insuficiência renal aguda
O049|Aborto por razões médicas e legais - completo ou não especificado, sem complicações
O80|Parto único espontâneo
O895|Outras complicações de anestesia raquidiana ou peridural, durante o puerpério
P593|Icterícia neonatal devida a inibidores do leite materno
P818|Outros distúrbios especificados da regulação térmica do recém-nascido
P833|Outros edemas e os não especificados próprios do feto e do recém-nascido
Q063|Outras malformações congênitas da cauda eqüina
Q189|Malformação congênita não especificada da face e do pescoço
Q373|Fenda do palato mole com fenda labial unilateral
Q430|Divertículo de Meckel
Q792|Exonfalia
Q913|Síndrome de Edwards não especificada
R048|Hemorragia de outras localizações das vias respiratórias
R195|Outras anormalidades fecais
R208|Outros distúrbios e os não especificadas da sensibilidade cutânea
S030|Luxação do maxilar
S350|Traumatismo da aorta abdominal
S597|Traumatismos múltiplos do cotovelo
S684|Amputação traumática da mão ao nível do punho
S834|Entorse e distensão envolvendo ligamento colateral (peronial) (tibial) do joelho
S857|Traumatismo de múltiplos vasos sangüíneos ao nível da perna
S903|Contusão de outras partes e partes não especificadas do pé
S997|Traumatismos múltiplos do tornozelo e do pé
T316|Queimaduras envolvendo de 60 - 69% da superfície corporal
T465|Intoxicação por outras drogas anti-hipertensivas não classificadas em outra parte
T862|Falência ou rejeição de transplante de coração
T982|Seqüelas de algumas complicações precoces de traumatismos
W189|Outras quedas no mesmo nível - local não especificado
W199|Queda sem especificação - local não especificado
X930|Agressão por meio de disparo de arma de fogo de mão - residência
Y349|Fatos ou eventos não especificados e intenção não determinada - local não especificado
Z123|Exame especial de rastreamento de neoplasia de mama
Z383|Gêmeos (duplos), nascidos em hospital
A071|Giardíase [lamblíase]
A35|Outros tipos de tétano
A398|Outras infecções por meningococos
A512|Sífilis primária de outras localizações
A513|Sífilis secundária da pele e das mucosas
B232|Doença pelo HIV resultando em anomalias hematológicas e imunológicas não classificadas em outra parte
B449|Aspergilose não especificada
B509|Malária não especificada por Plasmodium falciparum
C772|Neoplasia maligna secundária e não especificada dos gânglios linfáticos intra-abdominais
C881|Doença de cadeia pesada alfa
C930|Leucemia monocítica aguda
C957|Outras leucemias de tipo celular não especificado
D103|Neoplasia benigna de outras partes da boca e as não especificadas
D140|Neoplasia benigna do ouvido médio, cavidade nasal e seios paranasais
D236|Neoplasia benigna da pele dos membros superiores, incluindo o ombro
D573|Estigma falciforme
D588|Outras anemias hemolíticas hereditárias especificadas
D595|Hemoglobinúria paroxística noturna [Marchiafava-Micheli]
E060|Tireoidite aguda
E209|Hipoparatireoidismo não especificado
E250|Transtornos adrenogenitais congênitos associados à deficiência enzimática
E752|Outras esfingolipidoses
F144|Transtornos mentais e comportamentais devidos ao uso da cocaína - síndrome de abstinência com delirium
F180|Transtornos mentais e comportamentais devidos ao uso de solventes voláteis - intoxicação aguda
G320|Degeneração combinada subaguda da medula espinal em doenças classificadas em outra parte
G411|Estado de pequeno mal epiléptico
G822|Paraplegia não especificada
H613|Estenose adquirida do conduto auditivo externo
I130|Doença cardíaca e renal hipertensiva com insuficiência cardíaca (congestiva)
I358|Outros transtornos da valva aórtica
J398|Outras doenças especificadas das vias aéreas superiores
L272|Dermatite devida à ingestão de alimentos
M088|Outras artrites juvenis
M215|Mão e pé em garra e mão e pé tortos adquiridos
M348|Outras formas de esclerose sistêmica
M489|Espondilopatia não especificada
N370|Uretrite em doenças classificadas em outra parte
N412|Abscesso da próstata
N815|Enterocele vaginal
N833|Atrofia adquirida do ovário e da trompa de Falópio
O050|Outros tipos de aborto - incompleto, complicado por infecção do trato genital ou dos órgãos pélvicos
O079|Outras formas, e as não especificadas, de falha na provocação de aborto, sem complicação
O711|Ruptura do útero durante o trabalho de parto
O712|Inversão do útero pós-parto
O870|Tromboflebite superficial no puerpério
P121|Chignon devido a traumatismo de parto
P519|Hemorragia umbilical do recém-nascido, não especificada
P808|Outras hipotermias do recém-nascido
Q243|Estenose do infundíbulo pulmonar
Q523|Imperfuração do hímen
Q670|Assimetria facial
Q688|Outras deformidades osteomusculares congênitas
Q809|Ictiose congênita não especificada
Q819|Epidermólise bolhosa não especificada
R14|Flatulência e afecções correlatas
R619|Hiperidrose não especificada
R91|Achados anormais, de exames para diagnóstico por imagem, do pulmão
S117|Ferimentos múltiplos do pescoço
S260|Traumatismo do coração com hemopericárdio
S557|Traumatismo de múltiplos vasos sangüíneos ao nível do antebraço
S559|Traumatismo de vasos sangüíneos não especificados ao nível do antebraço
T241|Queimadura de primeiro grau do quadril e do membro inferior, exceto tornozelo e do pé
T360|Intoxicação por penicilinas
T800|Embolia aérea subseqüentes à infusão, transfusão e injeção terapêutica
Z113|Exame especial de rastreamento de infecções de transmissão predominantemente sexual
Z301|Inserção de dispositivo anticoncepcional (intra-uterino)
A058|Outras intoxicações alimentares bacterianas especificadas
A064|Abscesso amebiano do fígado
A161|Tuberculose pulmonar, sem realização de exame bacteriológico ou histológico
A812|Leucoencefalopatia multifocal progressiva
A819|Infecção não especificada do sistema nervosos central por vírus atípicos
A880|Febre exantemática por enterovírus [exantema de Boston]
C081|Neoplasia maligna da glândula sublingual
C089|Neoplasia maligna da glândula salivar maior, não especificada
C261|Neoplasia maligna do baço
C797|Neoplasia maligna secundária das glândulas supra-renais (adrenais)
D224|Nevo melanocítico do couro cabeludo e do pescoço
D762|Síndrome hematofagocítica associada à infecção
E010|Bócio (endêmico) difuso por deficiência de iodo
E129|Diabetes mellitus relacionado com a desnutrição - sem complicações
E269|Hiperaldosteronismo não especificado
E350|Transtornos da glândula tireóide em doenças classificadas em outra parte
F072|Síndrome pós-traumática
F135|Transtornos mentais e comportamentais devidos ao uso de sedativos e hipnóticos - transtorno psicótico
F163|Transtornos mentais e comportamentais devidos ao uso de alucinógenos - síndrome [estado] de abstinência
F169|Transtornos mentais e comportamentais devidos ao uso de alucinógenos - transtorno mental ou comportamental não especificado
F439|"Reação não especificada a um ""stress"" grave"
F89|Transtorno do desenvolvimento psicológico não especificado
G431|Enxaqueca com aura [enxaqueca clássica]
G951|Mielopatias vasculares
H062|Exoftalmo distireoídeo
H509|Estrabismo não especificado
H602|Otite externa maligna
H654|Outras otites médias crônicas não-supurativas
H663|Outras otites médias supurativas crônicas
I311|Pericardite constritiva crônica
I715|Aneurisma da aorta tóraco-abdominal, roto
I958|Outros tipos de hipotensão
J385|Espasmo da laringe
J418|Bronquite crônica mista, simples e mucopurulenta
K262|Úlcera duodenal - aguda com hemorragia e perfuração
K511|Ileocolite ulcerativa (crônica)
K626|Úlcera do ânus e do reto
K713|Doença hepática tóxica com hepatite crônica persistente
K741|Esclerose hepática
K80|Colelitíase
K903|Esteatorréia pancreática
K911|Síndromes pós-cirurgia gástrica
L22|Dermatite das fraldas
L600|Unha encravada
L80|Vitiligo
M062|Bursite reumatóide
M167|Outras coxartroses secundárias
M249|Desarranjo articular não especificado
M462|Osteomielite das vértebras
M703|Outras bursites do cotovelo
M918|Outras osteocondroses juvenis do quadril e da pelve
N069|Proteinúria isolada com lesão morfológica especificada - não especificada
N082|Transtornos glomerulares em doenças do sangue e transtornos imunitários
N134|Hidroureter
N171|Insuficiência renal aguda com necrose cortical aguda
N312|Bexiga neuropática flácida não classificada em outra parte
N411|Prostatite crônica
N771|Vaginite, vulvite e vulvovaginite em doenças infecciosas e parasitárias classificadas em outra parte
O670|Hemorragia intraparto com deficiência de coagulação
O757|Parto vaginal subseqüente a cesariana anterior
P100|Hemorragia subdural devida a traumatismo de parto
P292|Hipertensão neonatal
P75|Íleo meconial
Q012|Encefalocele occipital
Q042|Holoprosencefalia
Q233|Insuficiência mitral congênita
Q253|Estenose da aorta
Q622|Megaureter congênito
Q700|Coalescência dos dedos (dedos da mão fundidos)
Q749|Malformações congênitas não especificadas de membro(s)
Q829|Malformação congênita não especificada da pele
Q900|Trissomia 21, não-disjunção meiótica
R251|Tremor não especificado
R262|Dificuldade para andar não classificada em outra parte
R298|Outros sintomas e sinais relativos aos sistemas nervoso e osteomuscular e os não especificados
R390|Extravasamento de urina
R601|Edema generalizado
S279|Traumatismo de órgão intratorácico não especificado
S307|Traumatismos superficiais múltiplos do abdome, do dorso e da pelve
S518|Ferimento de outras partes do antebraço
S558|Traumatismo de outros vasos sangüíneos ao nível do antebraço
S632|Luxações múltiplas dos dedos
S870|Traumatismo por esmagamento do joelho
T231|Queimadura de primeiro grau do punho e da mão
T236|Corrosão de segundo grau do punho e da mão
T246|Corrosão de segundo grau do quadril e do membro inferior, exceto tornozelo e do pé
T256|Corrosão de segundo grau do tornozelo e do pé
T319|Queimaduras envolvendo 90% ou mais da superfície corporal
T433|Intoxicação por antipsicóticos e neurolépticos derivados da fenotiazina
T912|Seqüelas de outra fratura do tórax e da pelve
Z359|Supervisão não especificada de gravidez de alto risco
A178|Outras tuberculoses do sistema nervoso
A449|Bartonelose não especificada
B020|Encefalite pelo vírus do herpes zoster
B022|Herpes zoster acompanhado de outras manifestações neurológicas
B410|Paracoccidioidomicose pulmonar
B779|Ascaridíase não especificada
C004|Neoplasia maligna do lábio inferior, face interna
C784|Neoplasia maligna secundária do intestino delgado
D044|Carcinoma in situ da pele do couro cabeludo e do pescoço
D045|Carcinoma in situ da pele do tronco
D117|Neoplasia benigna de outras glândulas salivares maiores
D216|Neoplasia benigna do tecido conjuntivo e outros tecidos moles do tronco, não especificado
D232|Neoplasia benigna da pele da orelha e do conduto auditivo externo
D239|Neoplasia benigna da pele, não especificada
D316|Neoplasia benigna da órbita, não especificada
D569|Talassemia não especificada
D65|Coagulação intravascular disseminada [síndrome de desfibrinação]
D721|Eosinofilia
E031|Hipotireoidismo congênito sem bócio
E052|Tireotoxicose com bócio tóxico multinodular
E215|Transtorno não especificado da glândula paratireóide
E260|Hiperaldosteronismo primário
E899|Transtornos endócrinos e metabólicos não especificados pós-procedimento
F018|Outra demência vascular
F078|Outros transtornos orgânicos da personalidade e do comportamento devidos a doença cerebral, lesão e disfunção
F118|Transtornos mentais e comportamentais devidos ao uso de opiáceos - outros transtornos mentais ou comportamentais
F121|Transtornos mentais e comportamentais devidos ao uso de canabinóides - uso nocivo para a saúde
F418|Outros transtornos ansiosos especificados
F422|Transtorno obsessivo-compulsivo, forma mista, com idéias obsessivas e comportamentos compulsivos
F441|Fuga dissociativa
G118|Outras ataxias hereditárias
G519|Transtorno não especificado do nervo facial
G712|Miopatias congênitas
G737|Miopatia em outras doenças classificadas em outra parte
G950|Siringomielia e siringobulbia
H270|Afacia
H368|Outros transtornos retinianos em doenças classificadas em outra parte
H402|Glaucoma primário de ângulo fechado
H431|Hemorragia do humor vítreo
H451|Endoftalmite em doenças classificadas em outra parte
H481|Neurite retrobulbar em doenças classificadas em outra parte
H903|Perda de audição bilateral neuro-sensorial
I088|Outras doenças de múltiplas valvas
I461|Morte súbita (de origem) cardíaca, descrita desta forma
I619|Hemorragia intracerebral não especificada
I730|Síndrome de Raynaud
I891|Linfangite
J173|Pneumonia em doenças parasitárias classificadas em outra parte
J321|Sinusite frontal crônica
J370|Laringite crônica
J989|Transtorno respiratório não especificados
K282|Úlcera gastrojejunal - aguda com hemorragia e perfuração
K285|Úlcera gastrojejunal - crônica ou não especificada com perfuração
K414|Hérnia femoral unilateral ou não especificada, com gangrena
K514|Pseudopolipose do cólon
K574|Doença diverticular concomitante dos intestinos delgado e grosso com perfuração e abscesso
K592|Cólon neurogênico não classificado em outra parte
K832|Perfuração de via biliar
K915|Síndrome pós-colecistectomia
K930|Transtornos devido a tuberculose do intestino, do peritônio e dos gânglios do mesentério
L211|Dermatite seborréica infantil
L510|Eritema multiforme não bolhoso
L858|Outras formas de espessamento epidérmico
M073|Outras artropatias psoriásicas
M081|Espondilite ancilosante juvenil
M165|Outras coxartroses pós-traumáticas
M170|Gonartrose primária bilateral
M219|Deformidade adquirida não especificada de membro
M246|Ancilose articular
M540|Paniculite atingindo regiões do pescoço e do dorso
M620|Diástase de músculo
M626|Distensão muscular
M661|Ruptura de sinóvia
M798|Outros transtornos especificados dos tecidos moles
M856|Outro cisto ósseo
N051|Síndrome nefrítica não especificada - lesões glomerulares focais e segmentares
N802|Endometriose da trompa de Falópio
N831|Cisto do corpo lúteo
N888|Outros transtornos não-inflamatórios especificados do colo do útero
O430|Síndromes de transfusão placentária
O890|Complicações pulmonares da anestesia durante o puerpério
O921|Fissuras do mamilo associadas ao parto
P279|Doença respiratória crônica não especificada originada no período perinatal
P728|Outros transtornos endócrinos transitórios e especificados do período neonatal
Q040|Malformações congênitas do corpo caloso
Q231|Insuficiência congênita da valva aórtica
Q238|Outras malformações congênitas das valvas aórtica e mitral
Q270|Ausência congênita e hipoplasia da artéria umbilical
Q273|Malformação artério-venosa periférica
Q320|Traqueomalácia congênita
Q386|Outras malformações congênitas da boca
Q429|Ausência, atresia e estenose congênita de partes não especificadas do cólon (intestino grosso)
Q654|Subluxação congênita bilateral do quadril
Q759|Malformação congênita não especificada dos ossos do crânio e da face
R578|Outras formas de choque
R832|Achados anormais no líquido cefalorraquidiano - nível anormal de outras drogas, medicamentos e substâncias biológicas
S277|Traumatismos múltiplos de órgãos intratorácicos
S322|Fratura do cóccix
S377|Traumatismo de múltiplos órgãos pélvicos
S462|Traumatismo do músculo e tendão de outras partes do bíceps
S565|Traumatismo de outros músculos extensores e tendões ao nível do antebraço
S607|Traumatismos superficiais múltiplos do punho e da mão
S636|Entorse e distensão do(s) dedo(s)
S801|Contusão de outras partes e de partes não especificadas da perna
S917|Ferimentos múltiplos do tornozelo e do pé
T240|Queimadura do quadril e membro inferior, exceto tornozelo e do pé, grau não especificado
T318|Queimaduras envolvendo de 80 - 89% da superfície corporal
T369|Intoxicação por antibióticos sistêmicos não especificados
T391|Intoxicação por derivados do 4-aminofenol
T444|Intoxicação por agonistas principalmente alfa-adrenorreceptores não classificados em outra parte
T650|Efeito tóxico de cianetos
T653|Efeito tóxico de nitroderivados e aminoderivados do benzeno e seus homólogos
T918|Seqüelas de outros traumatismos especificados do pescoço e do tronco
T939|Seqüelas de traumatismo não especificado do membro inferior
Y289|Contato com objeto cortante ou penetrante, intenção não determinada - local não especificado
Z115|Exame especial de rastreamento de outras doenças virais
Z133|Exame especial de rastreamento de transtornos mentais e do comportamento
Z138|Exame especial de rastreamento de outras doenças e transtornos especificados
Z931|Gastrostomia
Z932|Ileostomia
Z975|Presença de dispositivo anticoncepcional intra-uterino [DIU]
A020|Enterite por salmonela
A155|Tuberculose da laringe, da trauéia e dos brônquios, com confirmação bacteriológica e histológica
A180|Tuberculose óssea e das articulações
A505|Outras formas tardias e sintomáticas da sífilis congênita
A599|Tricomoníase não especificada
A920|Febre de Chikungunya
A985|Febre hemorrágica com síndrome renal
B359|Dermatofitose não especificada
B382|Coccidioidomicose pulmonar não especificada
B651|Esquistossomose devida ao Schistosoma mansoni [esquistossomose intestinal]
B874|Miíase auricular
C052|Neoplasia maligna da úvula
C090|Neoplasia maligna da fossa amigdaliana
C130|Neoplasia maligna da região pós-cricóidea
C459|Mesotelioma, não especificado
C467|Sarcoma de Kaposi de outras localizações
C725|Neoplasia maligna de outros nervos cranianos e os não especificados
C821|Linfoma não-Hodgkin, misto, de pequenas e grandes células clivadas, folicular
D040|Carcinoma in situ da pele do lábio
D166|Neoplasia benigna da coluna vertebral
D237|Neoplasia benigna da pele dos membros inferiores, incluindo o quadril
D25|Leiomioma do útero
D407|Neoplasia de comportamento incerto ou desconhecido de outros órgãos genitais masculinos
D463|Anemia refratária com excesso de blastos com transformação
D735|Infarto do baço
E259|Transtorno adrenogenital não especificado
E275|Hiperfunção adrenomedular
E722|Distúrbios do metabolismo do ciclo da uréia
E728|Outros distúrbios especificados do metabolismo dos aminoácidos
E741|Distúrbios do metabolismo da frutose
E781|Hipergliceridemia pura
F128|Transtornos mentais e comportamentais devidos ao uso de canabinóides - outros transtornos mentais ou comportamentais
F189|Transtornos mentais e comportamentais devidos ao uso de solventes voláteis - transtorno mental ou comportamental não especificado
F19|Transtornos mentais e comportamentais devidos ao uso de múltiplas drogas e ao uso de outras substâncias psicoativas
F308|Outros episódios maníacos
F31|Transtorno afetivo bipolar
F341|Distimia
F488|Outros transtornos neuróticos especificados
F601|Personalidade esquizóide
F605|Personalidade anancástica
G479|Distúrbio do sono, não especificado
G518|Outros transtornos do nervo facial
G631|Polineuropatia em doenças neoplásicas
G633|Polineuropatia em outras doenças endócrinas e metabólicas
H811|Vertigem paroxística benigna
H839|Transtorno não especificado do ouvido interno
I348|Outros transtornos não-reumáticos da valva mitral
I390|Transtornos da valva mitral em doenças classificadas em outra parte
I452|Bloqueio bifascicular
J011|Sinusite frontal aguda
J383|Outras doenças das cordas vocais
K115|Sialolitíase
K118|Outras doenças das glândulas salivares
K119|Doença de glândula salivar, sem outra especificação
K294|Gastrite atrófica crônica
K411|Hérnia femoral bilateral, com gangrena
K627|Proctite por radiação
K751|Flebite da veia porta
K761|Congestão passiva crônica do fígado
K902|Síndrome da alça cega não classificada em outra parte
L258|Dermatite de contato não especificada devida a outros agentes
L538|Outras afecções eritematosas especificadas
L859|Espessamento epidérmico, não especificado
M018|Artrite em outras doenças infecciosas e parasitárias classificadas em outra parte
M082|Artrite juvenil com início sistêmico
M202|Hallux rigidus
M211|Deformidade em varo não classificada em outra parte
M217|Desigualdade (adquirida) do comprimento dos membros
M229|Transtorno da rótula, não especificado
M231|Menisco discóide (congênito)
M310|Angeíte de hipersensibilidade
M319|Vasculopatia necrotizante não especificada
M350|Síndrome seca [Sjögren]
M531|Síndrome cervicobraquial
M673|Sinovite transitória
M712|Cisto sinovial do espaço poplíteo [Baker]
M865|Outra osteomielite crônica hematogênica
M919|Osteocondrose juvenil não especificada do quadril e da pelve
